ID,DOB,AGE,GENDER,GIVE-N,GIVEONE,GIVETWO,GIVETHREE,GIVEFOUR,GIVEFIVE,GIVESIX,GIVESEVEN,GIVEEIGHT,GIVENINE,GIVETEN,COUNTBEAR,COUNTBEARSUCCESS,COUNTSELF,ALGO1,ALGO1YN,ALGO1OUTPUT,ALGO2,ALGO2YN,ALGO2OUTPUT,ALGO3,ALGO3YN,ALGO3OUTPUT,,,
1.00,8/13/15,3.732,FEMALE,Y,1,0,0,0,0,0,0,0,0,0,N,0,N,sort,Y,,double,N,,N/A,N/A,,,,
2.00,11/2/15,3.510,MALE,Y,1,1,1,0,0,0,0,0,0,0,N,0,N,sort,Y,,hitchhiker,N,,N/A,N/A,,,,
3.00,9/23/15,3.619,MALE,Y,1,1,1,0,0,0,0,0,0,0,N,0,N,sort,N,,double,Y,,N/A,N/A,,,,
4.00,7/13/14,4.816,FEMALE,Y,1,1,1,1,1,0,0,0,0,0,Y,1,Y,hitchhiker,Y,"/RB, GB/, /RB, GB/, /RB, GB/, /RB GB/",sort,Y,"R/, /G, /RGxc, /G, R/, /G",double,Y,"G/, /RR, G/, /RR, G/, /RR, G/, /RR",8,5,8
5.00,4/16/15,4.057,FEMALE,Y,1,1,1,0,0,0,0,0,0,0,N,0,Y,sort,Y,,hitchhiker,Y,,N/A,N/A,,,,
7.00,4/18/16,3.050,MALE,Y,1,0,0,0,0,0,0,0,0,0,N,0,N,hitchhiker,N,"B/, /B, B/, B/, B/, mBBBB/, mB/",sort,Y,"R/, /G, R/, /G, /G, R/, mRR/GG",double,N,"/R, mRG/, G/, /mR, G/, /RR, mGG/RRR, G/",0,6,0
8.00,1/29/14,5.268,MALE,Y,1,0,0,0,0,0,0,0,0,0,Y,1,Y,double,N,"R/, R/, /G, R/, /GG, mRRR/, /GG, RR/, R/, RR/",sort,Y,"/G, R/, RGc/, R/, RR/, RR/, /GG",hitchhiker,Y,"RB/, /GB, RB/, /GB, RB/, /GB",6,3,6
10.00,10/21/15,3.543,FEMALE,Y,1,1,1,1,0,0,0,0,0,0,Y*,1,N,hitchhiker,N,"GB/, RB/, BRR/, R/G, mR/, GB/",sort,Y,"RRRcRRb/, R/, /MRGc, R/, /G ",double,N,"/mRRG, G/, /R, /GG, R/, R/, /RRc, /RR",1,2,2
13.00,12/8/13,5.410,FEMALE,Y,1,1,1,1,1,1,1,1,0,0,Y,1,Y,sort,Y,"G/, /R, G/, /R, G/, /R, G/, /R,  G/, /R, G/, /R, G/, /R, G/, /R",double,Y,"R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",hitchhiker,Y,"RB/, RB/, /GB, /GB, RB/, /GB",16,12,6
17.00,5/26/15,3.948,FEMALE,Y,1,1,1,0,0,0,0,0,0,0,Y,1,Y,double,Y,"R/, /GG, R/, /GG, RR/, /GG, R/, /GG",sort,Y,"R/, /G, R/, /G, R/, /G, RR/",hitchhiker,N,"/GBB, RB/, RB/, /GB, RR/, /GB",6,6,4
18.00,10/5/14,4.586,FEMALE,Y,1,1,1,1,0,0,0,0,0,0,N,0,Y,sort,Y,"R/, /G, R/, /G, R/, /G, R/, /G, RR/, /GG, RR/, /GG",hitchhiker,N,"GRBc/, /G, mR/G, R/, /GB",double,N,"R/, /G, R/, /G, R/, /G",8,1,0
