ID,DOB,AGE,ALGO TYPE,DEMO,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,NUMBER_MOVEMENTS,NOTES
74,,,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,,,,,10,
74,,,double,,red,left,blue,right,redred,left,blueblue,right,redred,left,blueblue,right,redred,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
74,,,hitch,,red,left,blue,right,blueblack,right,red,left,black,left,blackblue,right,redblack,left,blueblack,right,blueblack,right,redblack,left,blueblack,right,redblack,left,,,,,,,,,,,,,,,,,,,,,12,
76,,,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,12,
76,,,double,,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,,,,,,,,,,,,,,,,,,,,,,,,,10,
76,,,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,12,
78,,,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,12,
78,,,double,,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
78,,,hitch,,redblack,left,blueblack,right,redblack,left,blueblackc,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
80,,,sort,,blue,right,red,left,blue,right,red,left,red,left,blue,right,redred ,left,blueblue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,14,
80,,,double,,red,left,blue,right,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,,,,,,,,,,,,,,,,,,,,,,,11,
80,,,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,,,10,
82,,,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,red,left,blue,right,blue,right,red,left,blue,right,red,left,,,,,,,,,,,,,,,7,
82,,,double,,blue,right,red,left,blueblue,right,red,left,red,left,blue,right,red,left,blue,right,red,left,red,left,blue,right,blue,right,red,left,blue,right,red,left,,,,,,,,,,,,,,,15,
82,,,hitch,,blueblack,right,redblack,left,blueblack,right,redblack,left,redblack,left,blueblack,right,redblack,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
84,,,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,bluec,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,10,
84,,,double,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,,,,,12,
84,,,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,,,10,
85,,,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,12,
85,,,double,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,,,,,10,
85,,,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
90,,,sort,,redb,0,blueb,0,blueb,0,redb,0,blueb,0,redb,0,blueb,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Child put all beads that were sorted by admin back into source bucket.
90,,,double,,blueblueb,0,redb,0,blueblueb,0,redb,0,blueblueb,0,redb,0,blueblueb,0,redb,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Child put all beads that were sorted by admin back into source bucket.
90,,,hitch,,redblackb,0,blueblackb,0,redblackb,0,blueblackb,0,redblackb,0,blueblackb,0,redblackb,0,blueblackb,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Child put all beads that were sorted by admin back into source bucket.
93,,,sort,,red,left,blueblue,right,blueblue,right,bluec,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,12,
93,,,double,,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue,right,,,,,,,,,,,,,,,,,,,13,
93,,,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,redblack,left,,,,,,,,,,,,,,,,,,,,,12,
94,,,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,12,
94,,,double,,red,left,blue,right,red,left,blueblue,right,red,left,blueblue,right,blueblue,right,red,left,blueblue,right,red,left,red,left,blueblue,right,,,,,,,,,,,,,,,,,,,,,12,
94,,,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,blue,right,,,,,,,,,,,,,,,,,10,
97,,,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,bluec,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,14,
97,,,double,,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,,,,,,,,,,,,,,,,,,,,,,,,,10,
97,,,hitch,,redblack,left,blackblue,right,redblack,left,blueblack,right,redblack,left,blueblack,right,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
99,,,sort,,blue,right,red,left,blue,right,red,left,blue,right,blue,right,red,left,red ,left,blue,right,red,left,red,left,blue,right,blue ,right,red,left,red,left,,,,,,,,,,,,,,,15,
99,,,double,,redred,left,red,left,red,left,blueblue,right,redred,left,blueblue,right,red,left,blueblue,right,redred,right,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
99,,,hitch,,blackred,left,redblack,left,blackred,left,blackblue,right,blackred,left,redblack,left,redblack,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
100,,,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,12,
100,,,double,,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,0,0,0,0,,,,,,,,,,,,,,,,,,,,,10,
100,,,hitch,,redblack,left,blueblack,right,redblack,left,redblack,left,blueblack,right,rredblack,left,blueblack,right,redblack,left,blueblack,right,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,9,
105,,,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,red ,left,blue ,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,,,11,
105,,,double,,red,left,blue,right,red,left,red,left,blue,right,red,left,red,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
105,,,hitch,,blackblue,right,redblack,left,blackblue,right,blackred,left,blackblue,right,blackblue,right,bluec,left,blue,right,blackred,left,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
106,,,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,20,
106,,,double,,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,,,,,,,,,,,,,,,,,,,,,12,
106,,,hitch,,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,13,
113,,,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,16,
113,,,double,,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,,,,,,,,,,,,,,,,,14,
113,,,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,,,,,,,,,,,,,,,,,,,,,,,11,
123,,,sort,,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue ,right,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,16,
123,,,double,,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,,,,,,,,,,,,,,,,,,,,,,,,,10,
123,,,hitch,,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,11,
124,,,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,bluec,left,blue ,right,red,left,blue ,right,23,
124,,,double,,redred,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,red,left,blue,right,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,20,
124,,,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,,,10,
N/A,,,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,17,
N/A,,,double,,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,redred,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,,,,,,,,,,,,,,,,,,,14,
N/A,,,hitch,,blueblack,right,redblack,left,redblack,left,blueblack,right,redblack,left,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
127,,,sort,,blue,right,red,left,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
127,,,double,,redred,left,blueblue,right,blueblue,right,redred,left,blueblue,right,redred,left,blueblue,right,redred,left,blueblue,right,redred,left,,,,,,,,,,,,,,,,,,,,,,,,,10,
127,,,hitch,,blueblack,right,blueblack,left,redblack,left,redblack,left,blueblack,right,redblack,left,redblack,left,blueblack,right,redblack,right,,,,,,,,,,,,,,,,,,,,,,,,,,,11,
128,,,sort,,blue,right,red,left,blue,right,red,left,blue,right,blue,right,redred,left,blue,right,red,left,red,left,redc,right,red ,left,blue,right,blue,right,red,left,red,left,blue,right,red,left,blue,right,blue,right,redred,left,,,21,
128,,,double,,blueblue ,right,red,left,blueblue,right,blue,right,red,left,blueblue,right,red,left,blue,right,blueblue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,,,,,,,,,18,
128,,,hitch,,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,,,,,,,,,,,,,,,15,
129,,,sort,,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,redred,left,blueblue,right,red,left,blue,right,red ,left,,,,,,,20,
129,,,double,,red,left,red,left,blue,right,blueblue,right,redred,left,blue,right,red ,left,blue,right,red,left,blue,right,red,left,redred,left,bluebluec,left,blueblue,right,redredred,left,blueblue,right,blue,right,redred,left,redred,right,,,,,,,19,
129,,,hitch,,redblack,left,blueblack,right,redblack,left,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,,,,,,,,,,,,,,,,,12,
