ID,DOB,AGE,ALGO TYPE,DEMO,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,NUMBER_MOVEMENTS,NOTES
74,,12,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,,,,,10,
74,,12,double,,red,left,blue,right,redred,left,blueblue,right,redred,left,blueblue,right,redred,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
74,,12,hitch,,red,left,blue,right,blueblack,right,red,left,black,left,blackblue,right,redblack,left,blueblack,right,blueblack,right,redblack,left,blueblack,right,redblack,left,,,,,,,,,,,,,,,,,,,,,12,
76,,10,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,12,
76,,10,double,,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,,,,,,,,,,,,,,,,,,,,,,,,,10,
76,,10,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,12,
78,,8,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,12,
78,,8,double,,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
78,,8,hitch,,redblack,left,blueblack,right,redblack,left,blueblackc,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
80,,9,sort,,blue,right,red,left,blue,right,red,left,red,left,blue,right,redred ,left,blueblue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,14,
80,,9,double,,red,left,blue,right,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,,,,,,,,,,,,,,,,,,,,,,,11,
80,,9,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,,,10,
82,,7,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,red,left,blue,right,blue,right,red,left,blue,right,red,left,,,,,,,,,,,,,,,7,
82,,7,double,,blue,right,red,left,blueblue,right,red,left,red,left,blue,right,red,left,blue,right,red,left,red,left,blue,right,blue,right,red,left,blue,right,red,left,,,,,,,,,,,,,,,15,
82,,7,hitch,,blueblack,right,redblack,left,blueblack,right,redblack,left,redblack,left,blueblack,right,redblack,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
84,,9,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,bluec,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,10,
84,,9,double,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,,,,,12,
84,,9,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,,,10,
85,,11,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,12,
85,,11,double,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,,,,,10,
85,,11,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
90,,12,sort,,redb,0,blueb,0,blueb,0,redb,0,blueb,0,redb,0,blueb,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Child put all beads that were sorted by admin back into source bucket.
90,,12,double,,blueblueb,0,redb,0,blueblueb,0,redb,0,blueblueb,0,redb,0,blueblueb,0,redb,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Child put all beads that were sorted by admin back into source bucket.
90,,12,hitch,,redblackb,0,blueblackb,0,redblackb,0,blueblackb,0,redblackb,0,blueblackb,0,redblackb,0,blueblackb,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Child put all beads that were sorted by admin back into source bucket.
93,,8,sort,,red,left,blueblue,right,blueblue,right,bluec,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,12,
93,,8,double,,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue,right,,,,,,,,,,,,,,,,,,,13,
93,,8,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,redblack,left,,,,,,,,,,,,,,,,,,,,,12,
94,,13,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,12,
94,,13,double,,red,left,blue,right,red,left,blueblue,right,red,left,blueblue,right,blueblue,right,red,left,blueblue,right,red,left,red,left,blueblue,right,,,,,,,,,,,,,,,,,,,,,12,
94,,13,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,blue,right,,,,,,,,,,,,,,,,,10,
97,,11,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,bluec,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,14,
97,,11,double,,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,,,,,,,,,,,,,,,,,,,,,,,,,10,
97,,11,hitch,,redblack,left,blackblue,right,redblack,left,blueblack,right,redblack,left,blueblack,right,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
99,,6,sort,,blue,right,red,left,blue,right,red,left,blue,right,blue,right,red,left,red ,left,blue,right,red,left,red,left,blue,right,blue ,right,red,left,red,left,,,,,,,,,,,,,,,15,
99,,6,double,,redred,left,red,left,red,left,blueblue,right,redred,left,blueblue,right,red,left,blueblue,right,redred,right,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
99,,6,hitch,,blackred,left,redblack,left,blackred,left,blackblue,right,blackred,left,redblack,left,redblack,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
100,,10,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,12,
100,,10,double,,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,0,0,0,0,,,,,,,,,,,,,,,,,,,,,10,
100,,10,hitch,,redblack,left,blueblack,right,redblack,left,redblack,left,blueblack,right,rredblack,left,blueblack,right,redblack,left,blueblack,right,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,9,
105,,7,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,red ,left,blue ,right,red,left,blue,right,,,,,,,,,,,,,,,,,,,,,,,11,
105,,7,double,,red,left,blue,right,red,left,red,left,blue,right,red,left,red,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
105,,7,hitch,,blackblue,right,redblack,left,blackblue,right,blackred,left,blackblue,right,blackblue,right,bluec,left,blue,right,blackred,left,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
106,,9,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,20,
106,,9,double,,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,red,left,blueblue,right,,,,,,,,,,,,,,,,,,,,,12,
106,,9,hitch,,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,13,
113,,13,sort,,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,16,
