ID,DOB,AGE,GENDER,SORT_DEMO,SORT_OUTPUT,DOUBLE_DEMO,DOUBLE_OUTPUT,HITCH_DEMO,HITCH_OUTPUT
1.00,8/13/15,3.732,FEMALE,N/A,N/A,N/A,N/A,N/A,N/A
2.00,11/2/15,3.510,MALE,N/A,N/A,N/A,N/A,N/A,N/A
3.00,9/23/15,3.619,MALE,N/A,N/A,N/A,N/A,N/A,N/A
4.00,7/13/14,4.816,FEMALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, /RGxc, /G, R/, /G","G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/"
5.00,4/16/15,4.057,FEMALE,N/A,N/A,N/A,N/A,N/A,N/A
7.00,4/18/16,3.050,MALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, /G, R/, mRR/GG","G/, /RR, G/, /RR, G/, /RR, G/, /RR","/R, mRG/, G/, /mR, G/, /RR, mGG/RRR, G/","GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","B/, /B, B/, B/, B/, mBBBB/, mB/"
8.00,1/29/14,5.268,MALE,"R/, /G, R/, /G, R/, /G, R/, /G ","/G, R/, RGc/, R/, RR/, RR/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /G, R/, /GG, mRRR/, /GG, RR/, R/, RR/","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB"
10.00,10/21/15,3.543,FEMALE,"R/, /G, R/, /G, R/, /G, R/, /G ","RRRcRRb/, R/, /MRGc, R/, /G ","G/, /RR, G/, /RR, G/, /RR, G/, /RR","/mRRG, G/, /R, /GG, R/, R/, /RRc, /RR","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","GB/, RB/, BRR/, R/G, mR/, GB/"
13.00,12/8/13,5.410,FEMALE,"G/, /R, G/, /R, G/, /R, G/, /R","G/, /R, G/, /R, G/, /R, G/, /R,  G/, /R, G/, /R, G/, /R, G/, /R","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, RB/, /GB, /GB, RB/, /GB"
17.00,5/26/15,3.948,FEMALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, RR/","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, RR/, /GG, R/, /GG","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","/GBB, RB/, RB/, /GB, RR/, /GB"
