ID,Tester,TestDate,AGE,GENDER,SORT_DEMO,SORT,DOUBLE_DEMO,DOUBLE,HITCH_DEMO,HITCH,SUCCESSOR_SORT,SUCCESSOR_DOUBLE,SUCCESSOR_HITCH,SUCCESSOR_SORT,SUCCESSOR_DOUBLE,SUCCESSOR_HITCH,KNOWER_LEV
1,,,3.737,FEMALE,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,,,,2
2,,,3.515,MALE,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,,,,3
3,,,3.625,MALE,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,,,,3
4,,,4.821,FEMALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, /RGxc, /G, R/, /G","G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/",1,1,1,1,1,1,5
5,,,4.063,FEMALE,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,,,,2
7,,,3.055,MALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, /G, R/, mRR/GG","G/, /RR, G/, /RR, G/, /RR, G/, /RR","/R, mRG/, G/, /mR, G/, /RR, mGG/RRR, G/","GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","B/, /B, B/, B/, B/, mBBBB/, mB/",1,1,0,0,0,0,1
8,,,5.273,MALE,"R/, /G, R/, /G, R/, /G, R/, /G ","/G, R/, RGc/, R/, RR/, RR/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /G, R/, /GG, mRRR/, /GG, RR/, R/, RR/","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB",1,1,1,0,0,1,1
10,,,3.548,FEMALE,"R/, /G, R/, /G, R/, /G, R/, /G ","RRRcRRb/, R/, /MRGc, R/, /G ","G/, /RR, G/, /RR, G/, /RR, G/, /RR","/mRRG, G/, /R, /GG, R/, R/, /RRc, /RR","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","GB/, RB/, BRR/, R/G, mR/, GB/",0,0,0,0,0,0,4
12,,,3.537,MALE,"R/, /G, R/, /G, R/, /G, R/, /G ",0,"G/, /RR, G/, /RR, G/, /RR, G/, /RR",0,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB",0,N/A,N/A,N/A,,,,3
13,,,5.415,FEMALE,"G/, /R, G/, /R, G/, /R, G/, /R","G/, /R, G/, /R, G/, /R, G/, /R,  G/, /R, G/, /R, G/, /R, G/, /R","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, RB/, /GB, /GB, RB/, /GB",1,1,1,1,1,0,9
14,,,3.455,FEMALE,"R/, /G, R/, /G, R/, /G, R/, /G ",0,"R/, /GG, R/, /GG, R/, /GG, R/, /GG",0,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB",0,N/A,N/A,N/A,,,,
17,,,3.953,FEMALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, RR/","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, RR/, /GG, R/, /GG","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","/GBB, RB/, RB/, /GB, RR/, /GB",1,1,1,1,1,0,3
18,,,4.591,FEMALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, RR/, /GG, RR/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /G, R/, /G, R/, /G","GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","GRBc/, /G, mR/G, R/, /GB",1,1,1,1,0,0,4
19,,,3.926,FEMALE,"G/, /R, G/, /R, G/, /R, G/, /R","/R, G/, G/b, /R, G/, /R, G/, /R, /RR, m/RRRGc, G/","G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, /mR, GGG/, /mR, mG/","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","R/, /mB, mRR/G, mRG/, /mB, /mB",0,0,0,1,0,0,3
20,,,4.501,FEMALE,"R/, /G, R/, /G, R/, /G, R/, /G ",0,"R/, /GG, R/, /GG, R/, /GG, R/, /GG",0,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB",0,N/A,N/A,N/A,,,,
21,,,3.918,MALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G","/G, RR/, /G, RR/, /G, RR/, /G, RR/","RR/, /G","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","/RB, GB/",1,1,1,0,0,0,5
22,,,5.123,MALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, R/, /G","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB, RB/ ",1,1,1,1,1,1,1
24,,,3.734,FEMALE,"R/, /G, R/, /G, R/, /G, R/, /G ",0,"R/, /GG, R/, /GG, R/, /GG, R/, /GG",0,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB",0,N/A,N/A,N/A,,,,
25,,,5.317,MALE,"R/, /G, R/, /G, R/, /G, R/, /G ","/G, R/, /G, R/, R/, /G, R/, /G, R/, /G, RR/, /GG, /G, /G, /G, /G, /G, /G ","R/, /GG, R/, /GG, R/, /GG, R/, /GG","/GG, /GG, /GG, /GG","GB/, /RB, GB/, /RB, GB/, /RB, GB/, ",mRGB/RGB,1,1,0,1,0,0,1
26,,,5.142,MALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, R/, R/, /GG, /GG, /Rc, R/, /GG, RRGc/, /G","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /GG, R/, /GG, R/, /GG, RR/, /GG, R/, /GG, R/, /GG, RR/, R/, /GG","GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","GB/, RG/, RG/, /RG, /R, BB/, GB/, /RG, GB/, RR/, RG/, /BB, /GB, /RB, B/",1,1,0,1,1,0,5
27,,,5.095,FEMALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /GRc, R/, /GRc, R/, /G, R/, /G, R/, /G ","G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR, G/, /RR","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GBB, RB/, /GB",1,1,1,1,1,1,7
28,,,4.044,FEMALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, R/","G/, /RR, G/, /RR, G/, /RR, G/, /RR","/R, G/, /R, G/","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, B/",1,0,0,0,0,0,3
29,,,3.253,FEMALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, /Rc, R/, /G, R/, /G, /G, /R, /G","R/, /GG, R/, /GG, R/, /GG, R/, /GG","mR/GG, RR/, mRG/, /G, /G, /GG, mRR/G, mR/G, mR/G,  mR/G, mR/G, /R, /G, mR/","GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","GBGB/, /RB, GB/, /RB, /RB, GB/, GB/",1,1,1,0,0,1,2
30,,,4.92,FEMALE,"/R, G/, /R, G/, /R, G/, /R, G/","/R, G/, Rcb/, G/, /R, G/, /R, G/, /R","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /G, R/, /G, /G, mRR/GG","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, /GB, RB/, /GB",1,1,1,1,0,1,4
32,,,4.129,MALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, RRR/, /G, RR/, /G, R/, /G, R/, /G, R/, /G, R/, /G, R/","G/, /RR, G/, /RR, G/, /RR, G/, /RR","mGGG/RR, mG/RR, mG/RR, mG/RR, mRc/Gc, mG/R","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","/GB, R/, mGRR/, B/, /B, R/, /GG, R/",1,1,0,1,1,0,2
33,,,3.92,FEMALE,"R/, /G, R/, /G, R/, /G, R/, /G ",0,"R/, /GG, R/, /GG, R/, /GG, R/, /GG",0,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB",0,N/A,N/A,N/A,,,,
34,,,3.663,FEMALE,"G/, /R, G/, /R, G/, /R, G/, /R","R/, /G, RRR/, Rm/, /G","R/, /GG, R/, /GG, R/, /GG, R/, /GG","RR/, R/, RR/, R/, /G, RR/, RR/, /GG, /GGG","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RBG/, RGBBB/ ",0,1,0,0,0,0,2
36,,,,FEMALE,"G/, /R, G/, /R, G/, /R, G/, /R","R/, /G, R/, /G, R/, /G, R/, R/, /G, R/, /G","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB,  RB/, /GB, RB/, /GB",1,1,1,1,1,1,10
37,,,,FEMALE,"G/, /R, G/, /R, G/, /R, G/, /R",0,"R/, /GG, R/, /GG, R/, /GG, R/, /GG",0,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB",0,N/A,N/A,N/A,,,,3
38,,,,MALE,"G/, /R, G/, /R, G/, /R, G/, /R","R/, /G, R/, /G, R/, /G, R/, /G, R/, /G, R/, /G","R/, /GG, R/, /GG, R/, /GG, R/, /GG","GG/, /R, GG/, /R, GG/, /R, /R, G/, G/, /R, G/","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB, RB/, RBRB/, RBRBRB/, /GBGBGBGB",1,1,1,1,1,1,10
39,,,,FEMALE,"G/, /R, G/, /R, G/, /R, G/, /R",0,"R/, /GG, R/, /GG, R/, /GG, R/, /GG",0,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB",0,N/A,N/A,N/A,,,,
40,,,,FEMALE,"G/, /R, G/, /R, G/, /R, G/, /R",0,"R/, /GG, R/, /GG, R/, /GG, R/, /GG",0,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB",0,N/A,N/A,N/A,,,,
41,,,,FEMALE,"G/, /R, G/, /R, G/, /R, G/, /R",0,"R/, /GG, R/, /GG, R/, /GG, R/, /GG",0,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB",0,N/A,N/A,N/A,,,,
42,,,,FEMALE,"G/, /R, G/, /R, G/, /R, G/, /R","R/, /G, R/, /G, RR/, /G, R/, /G, /G, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /G, R/, RR/, /GG, R/, /GG","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB",1,1,1,1,0,1,2
43,,,,FEMALE,"G/, /R, G/, /R, G/, /R, G/, /R","/G, R/, /G, R/, /G, /Rc, R/, GGc/, /GG, R/","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, Rb/, R/, /GG, R/, /GG","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GBBb, /GB, RB/, /GB, RB/, /GB",1,1,1,1,1,1,6
45,,,,MALE,"G/, /R, G/, /R, G/, /R, G/, /R","R/, /G, R/, /G, R/, /G, R/, /G, R/, /G","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /G, RR/, RRGc/ , /G, R/, R/, R/, /G, /G, /G, /G, /G, /G","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB",1,1,1,1,0,1,4
46,,,,MALE,"G/, /R, G/, /R, G/, /R, G/, /R",,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, RR/, /Rc, R/, R/, /G, /G","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","B/, G/, /R, /G, RR/",0,1,0,0,0,0,4
