,AGE,ALGOTYPE,DEMO,OVERALL.RESPONSE,DOB,GENDER,ID,OVERALL.RESPONSE.NO,RESPONSE.NO,ACTION.NO,BUCKET,RESPONSE
0,4.816,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, /RGxc, /G, R/, /G",7/13/14,FEMALE,4.0,0,0,0,left,R
1,4.816,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, /RGxc, /G, R/, /G",7/13/14,FEMALE,4.0,1,1,0,right,G
2,4.816,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, /RGxc, /G, R/, /G",7/13/14,FEMALE,4.0,2,2,0,left,G
3,4.816,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, /RGxc, /G, R/, /G",7/13/14,FEMALE,4.0,3,2,0,right,R
4,4.816,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, /RGxc, /G, R/, /G",7/13/14,FEMALE,4.0,4,3,0,right,G
5,4.816,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, /RGxc, /G, R/, /G",7/13/14,FEMALE,4.0,5,4,0,left,R
6,4.816,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, /RGxc, /G, R/, /G",7/13/14,FEMALE,4.0,6,5,0,right,G
7,4.816,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR",7/13/14,FEMALE,4.0,0,0,0,left,G
8,4.816,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR",7/13/14,FEMALE,4.0,1,1,0,right,R
9,4.816,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR",7/13/14,FEMALE,4.0,2,1,1,right,R
10,4.816,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR",7/13/14,FEMALE,4.0,3,2,0,left,G
11,4.816,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR",7/13/14,FEMALE,4.0,4,3,0,right,R
12,4.816,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR",7/13/14,FEMALE,4.0,5,3,1,right,R
13,4.816,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR",7/13/14,FEMALE,4.0,6,4,0,left,G
14,4.816,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR",7/13/14,FEMALE,4.0,7,5,0,right,R
15,4.816,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR",7/13/14,FEMALE,4.0,8,5,1,right,R
16,4.816,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR",7/13/14,FEMALE,4.0,9,6,0,left,G
17,4.816,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR",7/13/14,FEMALE,4.0,10,7,0,right,R
18,4.816,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR",7/13/14,FEMALE,4.0,11,7,1,right,R
19,4.816,HITCH,"/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/",7/13/14,FEMALE,4.0,0,0,0,right,R
20,4.816,HITCH,"/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/",7/13/14,FEMALE,4.0,1,0,1,right,B
21,4.816,HITCH,"/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/",7/13/14,FEMALE,4.0,2,1,0,left,G
22,4.816,HITCH,"/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/",7/13/14,FEMALE,4.0,3,1,1,left,B
23,4.816,HITCH,"/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/",7/13/14,FEMALE,4.0,4,2,0,right,R
24,4.816,HITCH,"/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/",7/13/14,FEMALE,4.0,5,2,1,right,B
25,4.816,HITCH,"/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/",7/13/14,FEMALE,4.0,6,3,0,left,G
26,4.816,HITCH,"/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/",7/13/14,FEMALE,4.0,7,3,1,left,B
27,4.816,HITCH,"/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/",7/13/14,FEMALE,4.0,8,4,0,right,R
28,4.816,HITCH,"/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/",7/13/14,FEMALE,4.0,9,4,1,right,B
29,4.816,HITCH,"/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/",7/13/14,FEMALE,4.0,10,5,0,left,G
30,4.816,HITCH,"/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/",7/13/14,FEMALE,4.0,11,5,1,left,B
31,4.816,HITCH,"/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/",7/13/14,FEMALE,4.0,12,6,0,right,R
32,4.816,HITCH,"/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/",7/13/14,FEMALE,4.0,13,6,1,right,B
33,4.816,HITCH,"/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/",7/13/14,FEMALE,4.0,14,7,0,left,G
