,AGE,ALGOTYPE,DEMO,OVERALL.RESPONSE,KNOWERLEV,GENDER,ID,PASS_SORT,PASS_DOUBLE,PASS_HITCH,PASS_SORT_1,PASS_DOUBLE_1,PASS_HITCH_1,OVERALL.RESPONSE.NO,RESPONSE.NO,ACTION.NO,BUCKET,RESPONSE
0,,sort,,,,,74.0,,,,,,,1,1,0,left,red
1,,sort,,,,,74.0,,,,,,,2,2,0,right,blue
2,,sort,,,,,74.0,,,,,,,3,3,0,left,red
3,,sort,,,,,74.0,,,,,,,4,4,0,right,blue
4,,sort,,,,,74.0,,,,,,,5,5,0,left,red
5,,sort,,,,,74.0,,,,,,,6,6,0,right,blue
6,,sort,,,,,74.0,,,,,,,7,7,0,left,red
7,,sort,,,,,74.0,,,,,,,8,8,0,right,blue
8,,sort,,,,,74.0,,,,,,,9,9,0,left,red
9,,sort,,,,,74.0,,,,,,,10,10,0,right,blue
10,,double,,,,,74.0,,,,,,,1,1,0,left,red
11,,double,,,,,74.0,,,,,,,2,2,0,right,blue
12,,double,,,,,74.0,,,,,,,3,3,0,left,red
13,,double,,,,,74.0,,,,,,,4,3,1,left,red
14,,double,,,,,74.0,,,,,,,5,4,0,right,blue
15,,double,,,,,74.0,,,,,,,6,4,1,right,blue
16,,double,,,,,74.0,,,,,,,7,5,0,left,red
17,,double,,,,,74.0,,,,,,,8,5,1,left,red
18,,double,,,,,74.0,,,,,,,9,6,0,right,blue
19,,double,,,,,74.0,,,,,,,10,6,1,right,blue
20,,double,,,,,74.0,,,,,,,11,7,0,left,red
21,,double,,,,,74.0,,,,,,,12,7,1,left,red
22,,hitch,,,,,74.0,,,,,,,1,1,0,left,red
23,,hitch,,,,,74.0,,,,,,,2,2,0,right,blue
24,,hitch,,,,,74.0,,,,,,,3,3,0,right,blue
25,,hitch,,,,,74.0,,,,,,,4,3,1,right,black
26,,hitch,,,,,74.0,,,,,,,5,4,0,left,red
27,,hitch,,,,,74.0,,,,,,,6,5,0,left,black
28,,hitch,,,,,74.0,,,,,,,7,6,0,right,black
29,,hitch,,,,,74.0,,,,,,,8,6,1,right,blue
30,,hitch,,,,,74.0,,,,,,,9,7,0,left,red
31,,hitch,,,,,74.0,,,,,,,10,7,1,left,black
32,,hitch,,,,,74.0,,,,,,,11,8,0,right,blue
33,,hitch,,,,,74.0,,,,,,,12,8,1,right,black
34,,hitch,,,,,74.0,,,,,,,13,9,0,right,blue
35,,hitch,,,,,74.0,,,,,,,14,9,1,right,black
36,,hitch,,,,,74.0,,,,,,,15,10,0,left,red
37,,hitch,,,,,74.0,,,,,,,16,10,1,left,black
38,,hitch,,,,,74.0,,,,,,,17,11,0,right,blue
39,,hitch,,,,,74.0,,,,,,,18,11,1,right,black
40,,hitch,,,,,74.0,,,,,,,19,12,0,left,red
41,,hitch,,,,,74.0,,,,,,,20,12,1,left,black
42,,sort,,,,,76.0,,,,,,,1,1,0,left,red
43,,sort,,,,,76.0,,,,,,,2,2,0,right,blue
44,,sort,,,,,76.0,,,,,,,3,3,0,left,red
45,,sort,,,,,76.0,,,,,,,4,4,0,right,blue
46,,sort,,,,,76.0,,,,,,,5,5,0,left,red
47,,sort,,,,,76.0,,,,,,,6,6,0,right,blue
48,,sort,,,,,76.0,,,,,,,7,7,0,left,red
49,,sort,,,,,76.0,,,,,,,8,8,0,right,blue
50,,sort,,,,,76.0,,,,,,,9,9,0,left,red
51,,sort,,,,,76.0,,,,,,,10,10,0,right,blue
52,,sort,,,,,76.0,,,,,,,11,11,0,left,red
53,,sort,,,,,76.0,,,,,,,12,12,0,right,blue
54,,double,,,,,76.0,,,,,,,1,1,0,left,red
55,,double,,,,,76.0,,,,,,,2,2,0,right,blue
56,,double,,,,,76.0,,,,,,,3,2,1,right,blue
57,,double,,,,,76.0,,,,,,,4,3,0,left,red
58,,double,,,,,76.0,,,,,,,5,4,0,right,blue
59,,double,,,,,76.0,,,,,,,6,4,1,right,blue
60,,double,,,,,76.0,,,,,,,7,5,0,left,red
61,,double,,,,,76.0,,,,,,,8,6,0,right,blue
62,,double,,,,,76.0,,,,,,,9,6,1,right,blue
63,,double,,,,,76.0,,,,,,,10,7,0,left,red
64,,double,,,,,76.0,,,,,,,11,8,0,right,blue
65,,double,,,,,76.0,,,,,,,12,8,1,right,blue
